Mineral Name,Mineral Name (plain),RRUFF Chemistry (concise),Chemistry Elements,RRUFF IDs,Structural Groupname,Crystal Systems,Space Groups,Oldest Known Age (Ma),Paragenetic Modes,Hey Classification ID,Hey Classification Name
Fluorotetraferriphlogopite,Fluorotetraferriphlogopite,KMg_3_Fe^3+^Si_3_O_10_F_2_,K Mg Fe Si O F,,Mica,monoclinic,C2/m,2070.0,"Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",17,Silicates Containing other Anions
Fluoro-tremolite,Fluoro-tremolite,[box]Ca_2_Mg_5_Si_8_O_22_F_2_,Ca Mg Si O F,,Amphibole-amphiboles calcic,monoclinic,C2/m,1600.0,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",17,Silicates Containing other Anions
Fluorowardite,Fluorowardite,NaAl_3_(PO_4_)_2_F_2_(OH)_2_·2H_2_O,Na Al P O H F,,Wardite,tetragonal,P4_12_12,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Fluorphosphohedyphane,Fluorphosphohedyphane,Ca_2_Pb^2+^_3_(PO_4_)_3_F,Ca Pb P O F,,Apatite,hexagonal,P6_3/m,358.9,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Fluorpyromorphite,Fluorpyromorphite,Pb^2+^_5_(PO_4_)_3_F,Pb P O F,,Apatite,hexagonal,P6_3/m,,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",0,Unclassified
Fluor-schorl,Fluor-schorl,NaFe^2+^_3_Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F,Na Fe Al Si O B H F,,Tourmaline,hexagonal,R3m,960.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",17,Silicates Containing other Anions
Fluorsigaiite,Fluorsigaiite,Ca_2_Sr_3_(PO_4_)_3_F,Ca Sr P O F,,Apatite,hexagonal,P6_3/m,,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",0,Unclassified
Fluorstrophite,Fluorstrophite,SrCaSr_3_(PO_4_)_3_F,Sr Ca P O F,,Apatite,hexagonal,P6_3,2500.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites",0,Unclassified
Fluor-tsilaisite,Fluor-tsilaisite,NaMn^2+^_3_Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F,Na Mn Al Si O B H F,,Tourmaline,hexagonal,R3m,2000.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",17,Silicates Containing other Anions
Fluor-uvite,Fluor-uvite,CaMg_3_(Al_5_Mg)(Si_6_O_18_)(BO_3_)_3_(OH)_3_F,Ca Mg Al Si O B H F,R050172 R050301 R100151 R100154,Tourmaline,hexagonal,R3m,1349.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",17,Silicates Containing other Anions
Fluorvesuvianite,Fluorvesuvianite,"Ca_19_(Al,Mg)_13_(SiO_4_)_10_(Si_2_O_7_)_4_O(F,OH)_9_",Ca Al Mg Si O F H,,Vesuvianite,tetragonal,P4/nnc,2004.0,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism",17,Silicates Containing other Anions
Fluorwavellite,Fluorwavellite,Al_3_(PO_4_)_2_(OH)_2_F·5H_2_O,Al P O H F,,Wavellite,orthorhombic,Pcnm,443.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Flurlite,Flurlite,Zn^2+^Zn^2+^_3_Fe^3+^(PO_4_)_3_(OH)_2_(H_2_O)_7_·2H_2_O,Zn Fe P O H,,Flurlite,monoclinic,P2_1/m,561.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",0,Unclassified
Foggite,Foggite,CaAlPO_4_(OH)_2_·H_2_O,Ca Al P O H,, ,orthorhombic,A2_122,326.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Fogoite-(Y),Fogoite-(Y),Ca_2_Y_2_Na_3_Ti^4+^(Si_2_O_7_)_2_(OF)F_2_,Ca Y Na Ti Si O F,,Seidozerite-Rinkite,triclinic,P-1,,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Foitite,Foitite,[box](Fe^2+^_2_Al)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_OH,Fe Al Si O B H,R050356 R050495 R100088,Tourmaline,hexagonal,R3m,2799.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",17,Silicates Containing other Anions
Folvikite,Folvikite,"Sb^5+^Mn^3+^(Mg,Mn^2+^)_10_O_8_(BO_3_)_4_",Sb Mn Mg O B,,Not in a structural group,monoclinic,P2,444.0,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",9,Borates
Fontanite,Fontanite,Ca(U^6+^O_2_)_3_(CO_3_)_2_O_2_·6H_2_O,Ca U O C H,, ,monoclinic,P2_1/n,282.7,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",11,Carbonates
Fontarnauite,Fontarnauite,"(Na,K)_2_(Sr,Ca)(S^6+^O_4_)[B_5_O_8_(OH)]·2H_2_O",Na K Sr Ca S O B H,,Not in a structural group,monoclinic,P2_1/c,,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 7: Great Oxidation Event, PM46 - Near-surface hydrothermal alterations",25,Sulphates
Foordite,Foordite,Sn^2+^Nb^5+^_2_O_6_,Sn Nb O,R130012, ,monoclinic,C2/c,945.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",7,Oxides and Hydroxides
Footemineite,Footemineite,Ca_2_Mn^2+^_5_Be_4_(PO_4_)_6_(OH)_4_·6H_2_O,Ca Mn Be P O H,R090005, ,triclinic,P-1,345.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",0,Unclassified
Forêtite,Foretite,"Cu^2+^_2_Al_2_(As^5+^O_4_)(OH,O,H_2_O)_6_",Cu Al As O H,,Not in a structural group,,,225.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",1,"Elements and Alloys (including the arsenides, antimonides and bismuthides of Cu, Ag and Au)"
Formanite-(Y),Formanite-(Y),YTa^5+^O_4_,Y Ta O,, ,monoclinic,P2/a,4000.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",7,Oxides and Hydroxides
Formicaite,Formicaite,Ca(HCOO)^1-^_2_,Ca C H O,,Formate,tetragonal,P4_12_12,144.0,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM31 - Contact metamorphism",0,Unclassified
Fornacite,Fornacite,Cu^2+^Pb^2+^_2_(Cr^6+^O_4_)(As^5+^O_4_)(OH),Cu Pb Cr O As H,R060932 R060986,Fornacite,monoclinic,P2_1/c,3200.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",1,"Elements and Alloys (including the arsenides, antimonides and bismuthides of Cu, Ag and Au)"
Forsterite,Forsterite,Mg_2_SiO_4_,Mg Si O,R040018 R040052 R040057 R050117 R060539 R060535 R060551 R100099 R100100 R100101 R100140,Olivine,orthorhombic,Pbnm|Pnma,4700.0,"Abiotic, Biotic, Primary, Secondary; Stage 0: Pre-terrestrial Ur-minerals, PM1 - Stellar atmosphere condensates, Stage 1: Primary nebular phases, PM3 - Solar nebular condensates, PM4 - Primary chondrule phases, Stage 2: Planetesimal differentiation & alteration, PM5 - Primary asteroid phases, PM6 - Secondary asteroid phases, Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, PM8 - Mafic igneous rocks, PM9 - Lava/xenolith minerals, Stage 4a: Earth's earliest continental crust, PM20 - Acidic volcanic rocks, PM26 - Hadean detrital minerals, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites, PM40 - Regional metamorphism, Stage 10b: Anthropogenic minerals, PM57 - Other minerals formed by human processes",14,Silicates not Containing Aluminum
Foshagite,Foshagite,Ca_4_(SiO_3_)_3_(OH)_2_,Ca Si O H,R070098, ,triclinic|unknown,P-1,1054.0,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals",17,Silicates Containing other Anions
Fougèrite,Fougerite,Fe^2+^_4_Fe^3+^_2_(OH)_12_(CO_3_)·3H_2_O,Fe O H C,,Hydrotalcite,hexagonal,R-3m,599.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM56 - Slag and smelter minerals",12,Carbonates with other anions
Fourmarierite,Fourmarierite,Pb^2+^_1-x_O_3-2x_(U^6+^O_2_)_4_(OH)_4+2x_·4H_2_O,Pb O U H,R100187,Schoepite,orthorhombic,Bb2_1m,1840.0,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM27 - Radioactive decay; auto-oxidation, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",7,Oxides and Hydroxides
Fowlerite,Fowlerite,"(Mn^2+^,Zn^2+^)SiO_3_",Mn Zn Si O,, ,,,1349.0,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",14,Silicates not Containing Aluminum
Fraipontite,Fraipontite,"(Zn^2+^,Al)_3_(Si,Al)_2_O_5_(OH)_4_",Zn Al Si O H,,"Serpentine, Clay",monoclinic,,1795.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",17,Silicates Containing other Anions
Francevillite,Francevillite,Ba(U^6+^O_2_)_2_(V^5+^O_4_)_2_·5H_2_O,Ba U O V H,R070159,Fritzscheite,orthorhombic,Pcan,1840.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Franciscanite,Franciscanite,Mn^2+^_6_(V^5+^[box])(SiO_4_)_2_O_3_(OH)_3_,Mn V Si O H,R060056,Welinite,hexagonal,P3,100.0,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",17,Silicates Containing other Anions
Francisite,Francisite,Cu^2+^_3_Bi^3+^(Se^4+^O_3_)_2_O_2_Cl,Cu Bi Se O Cl,, ,orthorhombic,Pmmn,1795.0,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM21 - Chemical precipitation, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",1,"Elements and Alloys (including the arsenides, antimonides and bismuthides of Cu, Ag and Au)"
Franckeite,Franckeite,"Pb^2+^_21.7_Sn^4+^_9.3_(Fe^2+^,Fe^3+^)_4.0_Sb^3+^_8.1_S^2-^_56.9_",Pb Sn Fe Sb S,R060946 R140342,Cylindrite,triclinic,C-1,419.2,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",6,"Sulphosalts - Sulphostannates, Sulphogermanates, Sulpharsenates, Sulphantimonates, Sulphovanadates and Sulphohalides"
Francoanellite,Francoanellite,K_3_Al_5_(PO_3_OH)_6_(PO_4_)_2_·12H_2_O,K Al P O H,, ,hexagonal,R-3c,100.5,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM52 - Guano- and urine-derived minerals",0,Unclassified
Françoisite-(Ce),Francoisite-(Ce),Ce^3+^(U^6+^O_2_)_3_(PO_4_)_2_O(OH)·6H_2_O,Ce U O H P,, ,monoclinic,P2_1/c,394.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Françoisite-(Nd),Francoisite-(Nd),Nd^3+^(U^6+^O_2_)_3_(PO_4_)_2_O(OH)·6H_2_O,Nd U O H P,, ,monoclinic,P2_1/c,1840.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Franconite,Franconite,NaNb^5+^_2_O_5_(OH)·3H_2_O,Na Nb O H,R110185, ,monoclinic,P2_1/c,488.3,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",7,Oxides and Hydroxides
Frankamenite,Frankamenite,K_3_Na_3_Ca_5_Si_12_O_30_F_3_(OH)·H_2_O,K Na Ca Si O F H,R060100, ,triclinic,P1,144.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Frankdicksonite,Frankdicksonite,BaF_2_,Ba F,,Fluorite,cubic,Fm3m,246.9,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM32 - Ba-Mn-Pb-Zn metamorphics, PM33 - Hydrothermal metal deposits",8,Halides
Frankhawthorneite,Frankhawthorneite,Cu^2+^_2_Te^6+^O_4_(OH)_2_,Cu Te O H,, ,monoclinic,P2_1/n,946.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",7,Oxides and Hydroxides
Franklinfurnaceite,Franklinfurnaceite,Ca_2_Mn^2+^_3_Mn^3+^Fe^3+^Zn^2+^_2_Si_2_O_10_(OH)_8_,Ca Mn Fe Zn Si O H,, ,monoclinic,C2,1349.0,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",17,Silicates Containing other Anions
Franklinite,Franklinite,Zn^2+^Fe^3+^_2_O_4_,Zn Fe O,R070137,Spinel,cubic,Fd3m|Fd-3m,3640.0,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",7,Oxides and Hydroxides
Franklinphilite,Franklinphilite,"(K,Na)_4_(Mn^2+^,Mg,Zn^2+^)_48_(Si,Al)_72_(O,OH)_216_·6H_2_O",K Na Mn Mg Zn Si Al O H,,Stilpnomelane,triclinic,,1349.0,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",17,Silicates Containing other Anions
Franksousaite,Franksousaite,Pb^2+^Cu^2+^(Se^6+^O_4_)(OH)_2_,Pb Cu Se O H,R210012,Linarite,monoclinic,,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",7,Oxides and Hydroxides
Fransoletite,Fransoletite,Ca_3_Be_2_(PO_4_)_2_(PO_3_OH)_2_·4H_2_O,Ca Be P O H,, ,monoclinic,P2_1/a,1702.0,"Abiotic, Biotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Franzinite,Franzinite,"(Na,K)_30_Ca_10_(Si_30_Al_30_)O_120_(S^6+^O_4_)_10_·2H_2_O",Na K Ca Si Al O S H,,Cancrinite-sodalite,hexagonal,P321,1.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",25,Sulphates
Freboldite,Freboldite,CoSe,Co Se,,Nickeline,hexagonal,P6_3mc,296.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",0,Unclassified
Fredrikssonite,Fredrikssonite,Mg_2_Mn^3+^O_2_(BO_3_),Mg Mn O B,R130112,Ludwigite,orthorhombic,Pbam,1898.0,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM32 - Ba-Mn-Pb-Zn metamorphics",9,Borates
Freedite,Freedite,Cu^1+^Pb^2+^_8_(As^3+^O_3_)_2_O_3_Cl_5_,Cu Pb As O Cl,, ,monoclinic,C2/m,1898.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",1,"Elements and Alloys (including the arsenides, antimonides and bismuthides of Cu, Ag and Au)"
Freieslebenite,Freieslebenite,Ag^1+^Pb^2+^Sb^3+^S^2-^_3_,Ag Pb Sb S,R060174, ,monoclinic,P2_1/a,2735.0,"Abiotic, Primary; Stage 3b: Earth's earliest hydrosphere, PM14 - Hot springs & geysers, Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",5,Sulphosalts - Sulpharsenites and Sulphobismuthites
Freitalite,Freitalite,C_14_H_10_,C H,, ,monoclinic,P2_1/a,,"Biotic; Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals",32,"Hydrocarbons, Resins and other Organic Compounds"
Fresnoite,Fresnoite,Ba_2_Ti^4+^O(Si_2_O_7_),Ba Ti O Si,R050595,Melilite,tetragonal,P4bm,2038.0,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",14,Silicates not Containing Aluminum
Freudenbergite,Freudenbergite,Na(Ti^4+^_3_Fe^3+^)O_8_,Na Ti Fe O,, ,monoclinic,C2/m,500.0,"Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 5: Initiation of plate tectonics, PM41 - Mantle metasomatism",0,Unclassified
Friedelite,Friedelite,Mn^2+^_8_Si_6_O_15_(OH)_10_,Mn Si O H,R060364 R070085,"Pyrosmalite, Clay",monoclinic,C2/m,2400.0,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",17,Silicates Containing other Anions
Friedrichbeckeite,Friedrichbeckeite,K([box]Na)Mg_2_(MgBe_2_Si_12_)O_30_,K Na Mg Be Si O,,Milarite,hexagonal,P6/mcc,0.4,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals",14,Silicates not Containing Aluminum
Friedrichite,Friedrichite,Cu^1+^_5_Pb^2+^_5_Bi^3+^_7_S^2-^_18_,Cu Pb Bi S,,Meneghinite,orthorhombic,Pb2_1m,2000.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",5,Sulphosalts - Sulpharsenites and Sulphobismuthites
Fritzscheite,Fritzscheite,"Mn^2+^(U^6+^O_2_)_2_(V^5+^O_4_,PO_4_)_2_·4H_2_O",Mn U O V P H,,Fritzscheite,orthorhombic,Pnam,326.4,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Frohbergite,Frohbergite,FeTe_2_,Fe Te,,Marcasite,orthorhombic,Pmnn,4000.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",0,Unclassified
Frolovite,Frolovite,Ca[B(OH)_4_]_2_,Ca B O H,R070469, ,triclinic,P-1,252.0,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration",7,Oxides and Hydroxides
Frondelite,Frondelite,(Mn^2+^_0.5_Fe^3+^_0.5_)_2_Fe^3+^_3_(PO_4_)_3_(OH)_5_,Mn Fe P O H,R050622,Rockbridgeite,orthorhombic,Cmcm,1800.0,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Froodite,Froodite,PdBi_2_,Pd Bi,R070459, ,monoclinic,C2/m,2490.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 4b: Highly evolved igneous rocks, PM37 - Layered igneous formations",0,Unclassified
Fuenzalidaite,Fuenzalidaite,K_3_Na_5_Mg_5_(I^5+^O_3_)_6_(S^6+^O_4_)_6_·6H_2_O,K Na Mg I O S H,, ,hexagonal,P-3c1,,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic), Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",26,Sulphates with Halide
Fuettererite,Fuettererite,Pb^2+^_3_Cu^2+^_6_Te^6+^O_6_(OH)_7_Cl_5_,Pb Cu Te O H Cl,,Not in a structural group,hexagonal,R-3,946.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",7,Oxides and Hydroxides
Fukalite,Fukalite,Ca_4_Si_2_O_6_(CO_3_)(OH)_2_,Ca Si O C H,, ,monoclinic|orthorhombic,Bmmb|P2_1/c,394.0,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism",12,Carbonates with other anions
Fukuchilite,Fukuchilite,Cu^2+^_3_Fe^2+^(S_2_)^2-^_4_,Cu Fe S,,Pyrite,cubic,Pa3,70.0,"Abiotic, Primary; Stage 3b: Earth's earliest hydrosphere, PM12 - Hadean hydrothermal subsurface sulfide deposits",3,"Sulphides, Selenides, Tellurides, Arsenides and Bismuthides"
Fulbrightite,Fulbrightite,Ca(V^4+^O)_2_(As^5+^O_4_)_2_·4H_2_O,Ca V O As H,,Sincosite,triclinic,P1,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Fülöppite,Fuloppite,Pb^2+^_3_Sb^3+^_8_S^2-^_15_,Pb Sb S,, ,monoclinic,C2/c,400.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",5,Sulphosalts - Sulpharsenites and Sulphobismuthites
Furongite,Furongite,Al_13_(U^6+^O_2_)_7_(PO_4_)_13_(OH)_14_·58H_2_O,Al U O P H,, ,triclinic,,975.3,"Abiotic, Biotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Furutobeite,Furutobeite,"(Cu^1+^,Ag^1+^)_6_Pb^2+^S^2-^_4_",Cu Ag Pb S,R060937, ,monoclinic,,541.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",3,"Sulphides, Selenides, Tellurides, Arsenides and Bismuthides"
Gabrielite,Gabrielite,Tl^1+^_2_Ag^1+^Cu^1+^_2_As^3+^_3_S^2-^_7_,Tl Ag Cu As S,, ,triclinic,P-1,245.0,"Abiotic, Primary; Stage 3b: Earth's earliest hydrosphere, PM12 - Hadean hydrothermal subsurface sulfide deposits",5,Sulphosalts - Sulpharsenites and Sulphobismuthites
Gabrielsonite,Gabrielsonite,Pb^2+^Fe^3+^(As^3+^O_3_)O,Pb Fe As O,, ,orthorhombic,P2_1ma,1898.0,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",0,Unclassified
Gachingite,Gachingite,Au(Te_1-x_Se_x_) 0.2 ≈ x ≤ 0.5,Au Te Se,,Not in a structural group,orthorhombic,Cmca,,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",0,Unclassified
Gadolinite-(Ce),Gadolinite-(Ce),Fe^2+^Be_2_Ce^3+^_2_(SiO_4_)_2_O_2_,Ce Fe Be O Si,,Gadolinite,monoclinic,,2310.4,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks",14,Silicates not Containing Aluminum
Gadolinite-(Nd),Gadolinite-(Nd),Nd^3+^_2_Fe^2+^Be_2_O_2_(SiO_4_)_2_,Nd Fe Be O Si,,Gadolinite,monoclinic,P2_1/c,1850.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks",14,Silicates not Containing Aluminum
